Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,25
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,26
2012,Uncapped,China,Overall,33
2012,Uncapped,Other,Overall,69
2012,Uncapped,India,Overall,43
2012,Uncapped,Overall,EB-3,143
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,118
2013,Uncapped,China,Overall,48
2013,Uncapped,Other,Overall,36
2013,Uncapped,Overall,EB-3,191
2013,Uncapped,Overall,EB-2,2
2013,Uncapped,Overall,EB-4,9
2014,Uncapped,India,Overall,177
2014,Uncapped,China,Overall,53
2014,Uncapped,Other,Overall,24
2014,Uncapped,Overall,EB-3,205
2014,Uncapped,Overall,EB-2,23
2014,Uncapped,Overall,EB-4,26
2015,Uncapped,India,Overall,170
2015,Uncapped,China,Overall,63
2015,Uncapped,Other,Overall,90
2015,Uncapped,Overall,EB-3,166
2015,Uncapped,Overall,EB-2,66
2015,Uncapped,Overall,EB-4,91
2016,Uncapped,China,Overall,204
2016,Uncapped,India,Overall,304
2016,Uncapped,Other,Overall,171
2016,Uncapped,Overall,EB-3,398
2016,Uncapped,Overall,EB-2,104
2016,Uncapped,Overall,EB-4,177
2017,Uncapped,India,Overall,515
2017,Uncapped,China,Overall,129
2017,Uncapped,Other,Overall,245
2017,Uncapped,Overall,EB-3,459
2017,Uncapped,Overall,EB-2,163
2017,Uncapped,Overall,EB-4,267
2018,Uncapped,India,Overall,716
2018,Uncapped,China,Overall,39
2018,Uncapped,Other,Overall,389
2018,Uncapped,Overall,EB-3,487
2018,Uncapped,Overall,EB-2,243
2018,Uncapped,Overall,EB-4,414
2019,Uncapped,India,Overall,1074
2019,Uncapped,China,Overall,101
2019,Uncapped,Other,Overall,504
2019,Uncapped,Overall,EB-3,815
2019,Uncapped,Overall,EB-2,338
2019,Uncapped,Overall,EB-4,526
2020,Uncapped,India,Overall,1266
2020,Uncapped,China,Overall,96
2020,Uncapped,Other,Overall,647
2020,Uncapped,Overall,EB-3,762
2020,Uncapped,Overall,EB-2,572
2020,Uncapped,Overall,EB-4,675
2021,Uncapped,India,Overall,1345
2021,Uncapped,China,Overall,122
2021,Uncapped,Other,Overall,656
2021,Uncapped,Overall,EB-3,786
2021,Uncapped,Overall,EB-2,655
2021,Uncapped,Overall,EB-4,682
2022,Uncapped,India,Overall,1286
2022,Uncapped,China,Overall,86
2022,Uncapped,Other,Overall,645
2022,Uncapped,Overall,EB-3,777
2022,Uncapped,Overall,EB-2,562
2022,Uncapped,Overall,EB-4,675
2022,Uncapped,Overall,EB-5,3
2023,Uncapped,India,Overall,1772
2023,Uncapped,China,Overall,114
2023,Uncapped,Other,Overall,735
2023,Uncapped,Overall,EB-3,990
2023,Uncapped,Overall,EB-2,867
2023,Uncapped,Overall,EB-4,764
2024,Uncapped,India,Overall,2118
2024,Uncapped,China,Overall,183
2024,Uncapped,Other,Overall,917
2024,Uncapped,Overall,EB-3,1068
2024,Uncapped,Overall,EB-2,1178
2024,Uncapped,Overall,EB-4,946
2024,Uncapped,Overall,EB-5,26
2025,Uncapped,India,Overall,1850
2025,Uncapped,China,Overall,236
2025,Uncapped,Other,Overall,1058
2025,Uncapped,Overall,EB-3,705
2025,Uncapped,Overall,EB-2,1402
2025,Uncapped,Overall,EB-4,1035
2025,Uncapped,Overall,EB-5,2
2026,Uncapped,India,Overall,1665
2026,Uncapped,China,Overall,302
2026,Uncapped,Other,Overall,1377
2026,Uncapped,Overall,EB-2,1595
2026,Uncapped,Overall,EB-3,498
2026,Uncapped,Overall,EB-4,1249
2026,Uncapped,Overall,EB-1,1
2026,Uncapped,Overall,EB-5,1
2027,Uncapped,India,Overall,1692
2027,Uncapped,China,Overall,333
2027,Uncapped,Other,Overall,1708
2027,Uncapped,Overall,EB-2,1785
2027,Uncapped,Overall,EB-3,529
2027,Uncapped,Overall,EB-4,1411
2027,Uncapped,Overall,EB-1,7
2027,Uncapped,Overall,EB-5,1
2028,Uncapped,India,Overall,1725
2028,Uncapped,China,Overall,369
2028,Uncapped,Other,Overall,2172
2028,Uncapped,Overall,EB-2,1941
