year,total_workers,permanent_workers,temporary_workers,new_permanent,new_temporary,converted_temps,cumulative_conversions,temporary_share,children_aged_out_this_year,cumulative_children_aged_out,children_at_risk,queue_backlog_total,country_cap_enabled,annual_conversion_cap,backlog_China,backlog_India,backlog_ROW
2009,277410,63709,205675,63709,277410,63709,63709,0.7414,0,0,88422,205675,True,140986,38516,93201,73958
2010,358086,131861,209760,68152,80676,68152,131861,0.5858,0,0,90804,209760,True,150263,36041,106453,67266
2011,442016,195373,221545,63512,83930,63512,195373,0.5012,37,37,97845,221545,True,139300,32763,125059,63723
2012,523739,260686,229378,65313,81723,65313,260686,0.438,149,186,102276,229378,True,144647,32038,141251,56089
2013,610314,333177,234529,72491,86575,72491,333177,0.3843,245,431,106894,234529,True,161269,30732,153656,50141
2014,711633,401121,258655,67944,101319,67944,401121,0.3635,261,692,118438,258655,True,151359,34623,176204,47828
2015,840693,465847,311642,64726,129060,64726,465847,0.3707,313,1005,143263,311642,True,143952,42656,209833,59153
2016,1013915,528774,407081,62927,173222,62927,528774,0.4015,702,1707,183943,407081,True,140350,53949,263227,89905
2017,1172433,591579,485104,62805,158518,62805,591579,0.4138,947,2654,216753,485104,True,139605,68015,307202,109887
2018,1322983,654084,553112,62505,150550,62505,654084,0.4181,1217,3871,246188,553112,True,139482,84467,346966,121679
2019,1495998,717469,639518,63385,173015,63385,717469,0.4275,1850,5721,274885,639518,True,140588,93072,392452,153994
2020,1668808,784234,718593,66765,172810,66765,784234,0.4306,2094,7815,292955,718593,True,147154,102551,424735,191307
2021,1868861,873166,799225,88932,200053,88932,873166,0.4277,2414,10229,324521,799225,True,195507,112350,470486,216389
2022,2062785,999808,834504,126642,193924,126642,999808,0.4046,2342,12571,339280,834504,True,275252,109823,486548,238133
2023,2302751,1089497,946895,89689,239966,89689,1089497,0.4112,3059,15630,370408,946895,True,193927,115715,525718,305462
2024,2551614,1166784,1074897,77287,248863,77287,1166784,0.4213,3693,19323,400220,1074897,True,167395,129681,561051,384165
2025,2800477,1244338,1196430,77554,248863,77554,1244338,0.4272,4667,23990,427975,1196430,True,167395,142824,594738,458868
2026,3049340,1322057,1312136,77719,248863,77719,1322057,0.4303,5394,29384,453759,1312136,True,167395,156047,626949,529140
2027,3298203,1399097,1422545,77040,248863,77040,1399097,0.4313,6329,35713,478043,1422545,True,167395,168041,657676,596828
2028,3547066,1477756,1526154,78659,248863,78659,1477756,0.4303,7309,43022,499854,1526154,True,167395,180339,685868,659947
2029,3795929,1556823,1624162,79067,248863,79067,1556823,0.4279,8355,51377,519670,1624162,True,167395,192320,711715,720127
2030,4044792,1636182,1716796,79359,248863,79359,1636182,0.4244,9512,60889,536996,1716796,True,167395,204088,735140,777568
2031,4293655,1716194,1804078,80012,248863,80012,1716194,0.4202,10499,71388,552615,1804078,True,167395,215567,756515,831996
2032,4542518,1796511,1886202,80317,248863,80317,1796511,0.4152,11557,82945,565948,1886202,True,167395,226428,775523,884251
2033,4791381,1876275,1964458,79764,248863,79764,1876275,0.41,12664,95609,578261,1964458,True,167395,236547,792872,935039
2034,5040244,1955625,2039717,79350,248863,79350,1955625,0.4047,13728,109337,588001,2039717,True,167395,246582,807426,985709
2035,5289107,2034739,2109998,79114,248863,79114,2034739,0.3989,14645,123982,596030,2109998,True,167395,255857,819799,1034342
2036,5537970,2114024,2176555,79285,248863,79285,2114024,0.393,15973,139955,602494,2176555,True,167395,265168,829673,1081714
2037,5786833,2194455,2237756,80431,248863,80431,2194455,0.3867,16390,156345,607254,2237756,True,167395,273832,838066,1125858
2038,6035696,2275700,2294619,81245,248863,81245,2275700,0.3802,16448,172793,614282,2294619,True,167395,282181,843798,1168640
2039,6284559,2357199,2348335,81499,248863,81499,2357199,0.3737,17023,189816,619925,2348335,True,167395,289724,848641,1209970
2040,6533422,2438992,2397806,81793,248863,81793,2438992,0.367,17417,207233,625049,2397806,True,167395,296992,851375,1249439
