year,total_workers,permanent_workers,temporary_workers,new_permanent,new_temporary,converted_temps,cumulative_conversions,temporary_share,children_aged_out_this_year,cumulative_children_aged_out,children_at_risk,queue_backlog_total,country_cap_enabled,annual_conversion_cap,backlog_China,backlog_India,backlog_ROW
2009,277410,63709,205675,63709,277410,63709,63709,0.7414,0,0,88422,205675,False,140986,38516,93201,73958
2010,358086,131861,209760,68152,80676,68152,131861,0.5858,0,0,90804,209760,False,150263,36041,106453,67266
2011,442016,195373,221545,63512,83930,63512,195373,0.5012,37,37,97845,221545,False,139300,32763,125059,63723
2012,523739,260686,229378,65313,81723,65313,260686,0.438,149,186,102276,229378,False,144647,32038,141251,56089
2013,610314,333177,234529,72491,86575,72491,333177,0.3843,245,431,106894,234529,False,161269,30732,153656,50141
2014,711633,401121,258655,67944,101319,67944,401121,0.3635,261,692,118438,258655,False,151359,34623,176204,47828
2015,840693,465847,311642,64726,129060,64726,465847,0.3707,313,1005,143263,311642,False,143952,42656,209833,59153
2016,1013915,528774,407081,62927,173222,62927,528774,0.4015,702,1707,183943,407081,False,140350,53949,263227,89905
2017,1172433,591579,485104,62805,158518,62805,591579,0.4138,947,2654,216753,485104,False,139605,68015,307202,109887
2018,1322983,654084,553112,62505,150550,62505,654084,0.4181,1217,3871,246188,553112,False,139482,84467,346966,121679
2019,1495998,717469,639518,63385,173015,63385,717469,0.4275,1850,5721,274885,639518,False,140588,93072,392452,153994
2020,1668808,784234,718593,66765,172810,66765,784234,0.4306,2094,7815,292955,718593,False,147154,102551,424735,191307
2021,1868861,873166,799225,88932,200053,88932,873166,0.4277,2414,10229,324521,799225,False,195507,112350,470486,216389
2022,2062785,999808,834504,126642,193924,126642,999808,0.4046,2342,12571,339280,834504,False,275252,109823,486548,238133
2023,2302751,1089497,946895,89689,239966,89689,1089497,0.4112,3059,15630,370408,946895,False,193927,115715,525718,305462
2024,2551614,1166784,1074897,77287,248863,77287,1166784,0.4213,3693,19323,400220,1074897,False,167395,129681,561051,384165
2025,2800477,1243879,1197680,77095,248863,77095,1243879,0.4277,3589,22912,436948,1197680,False,167395,139749,550183,507748
2026,3049340,1319965,1315684,76086,248863,76086,1319965,0.4315,3838,26750,469085,1315684,False,167395,151868,544246,619570
2027,3298203,1395783,1428182,75818,248863,75818,1395783,0.433,4285,31035,499164,1428182,False,167395,160301,544400,723481
2028,3547066,1473359,1533949,77576,248863,77576,1473359,0.4325,5242,36277,526099,1533949,False,167395,169624,544907,819418
2029,3795929,1550936,1634597,77577,248863,77577,1550936,0.4306,5896,42173,551050,1634597,False,167395,178484,544865,911248
2030,4044792,1629949,1729737,79013,248863,79013,1629949,0.4276,6984,49157,574083,1729737,False,167395,186455,544630,998652
2031,4293655,1709270,1820389,79321,248863,79321,1709270,0.424,7912,57069,595265,1820389,False,167395,193605,545410,1081374
2032,4542518,1789931,1905025,80661,248863,80661,1789931,0.4194,8846,65915,613906,1905025,False,167395,201814,556779,1146432
2033,4791381,1869482,1987860,79551,248863,79551,1869482,0.4149,9624,75539,631427,1987860,False,167395,208326,568741,1210793
2034,5040244,1949377,2067341,79895,248863,79895,1949377,0.4102,10456,85995,647435,2067341,False,167395,214211,580251,1272879
2035,5289107,2029167,2143272,79790,248863,79790,2029167,0.4052,11316,97311,661731,2143272,False,167395,219780,590982,1332510
2036,5537970,2109540,2215928,80373,248863,80373,2109540,0.4001,12548,109859,674138,2215928,False,167395,225805,600592,1389531
2037,5786833,2191652,2283538,82112,248863,82112,2191652,0.3946,12975,122834,685259,2283538,False,167395,231478,612256,1439804
2038,6035696,2274353,2347549,82701,248863,82701,2274353,0.3889,13667,136501,696797,2347549,False,167395,236610,624743,1486196
2039,6284559,2357681,2408629,83328,248863,83328,2357681,0.3833,14635,151136,707056,2408629,False,167395,241154,637419,1530056
2040,6533422,2441258,2466033,83577,248863,83577,2441258,0.3774,15157,166293,716112,2466033,False,167395,246060,648406,1571567
